filer_name	ID	filer_description
Harrington, Michael|Michael Harrington for Oregon	15182	State Representative, 44th District|Republican
Heck, Keith|Heck Yes for Commissioner	15623	County Commissioner, Josephine County, Position 2|Nonpartisan
Helfrich, Jeffrey|Friends of Jeff Helfrich	15984	State Representative, 52nd District|Republican
Henderson, Philip|Friends of Phil Henderson for Deschutes County Commissioner	15432	County Commissioner, Deschutes County, Position 2|Republican
Hillsboro Chamber of Commerce PAC	15577	Miscellaneous
Hissong, Candace Anne|Committee to ReElect Candace Hissong for Justice of the Peace	15322	Justice of the Peace, Glendale|Nonpartisan
Hitt, Patricia|Hitt for Clerk	15261	County Clerk, Douglas County|Nonpartisan
Hodson, Brian|Friends of Brian Hodson	16040	Mayor, City of Canby|Nonpartisan
Holste, Neal|Elect Neal Holste for Sheriff	14998	County Sheriff, Hood River County|Nonpartisan
Holton, Dwight|Holton for Oregon	15425	Attorney General|Democrat
Hoppe, David|Elect Dave Hoppe For DA	15343	Judge of the Circuit Court, 1st District, Position 2|Nonpartisan
Humphreys, Christopher|Chris Humphreys for Sheriff	15711	County Sheriff, Wheeler County|Nonpartisan
Hung, Lung|Vote Judge Hung	16007	Judge of the Circuit Court, 9th District, Position 2|Nonpartisan
IAFF L2557 PAC	14931	Miscellaneous
IEC Oregon Merit Shop Electrical PAC	14942	Miscellaneous
It's Still A Bad Idea Committee	15894	Measure
Johnson, Kellie|Kellie Johnson for District Attorney	15144	District Attorney, Multnomah County|Nonpartisan
Jordan, Penny|Committee to Re-elect Penny Eymann Jordan	16044	Director, Emerald People's Utility District, Subdivision 5|Nonpartisan
Keep Our Libraries Open	14922	Measure|Supports Measure 17-79 - 2017
Keep Stayton Livable	15669	Measure|Supports Measure 24-390 - 2016
Kellstrom, Todd|Kellstrom for Mayor	15468	Mayor, City of Klamath Falls|Nonpartisan
Kellum, Richard|Friends of Rich Kellum	15969	City Councilor, City of Albany, Ward III - B|Nonpartisan
Keny-Guyer, Alissa|Friends of Alissa Keny-Guyer	15237	State Representative, 46th District|Democrat
Kirwan, John|John Kirwan For Hermiston City Council	15393	City Councilor, City of Hermiston, At Large|Nonpartisan
Klahr, James|Friends of Jim Klahr	15181	State Representative, 1st District|Democrat
Knopp, Tim|Tim Knopp for State Senate	15627	State Senator, 27th District|Republican
Kujala, Mark|Mark Kujala Campaign	16093	City Commissioner, City of Warrenton, Position 5|Nonpartisan
Lane County Young Democrats	15104	Political Party|Democrat
Lieuallen, Jon|Committee to Elect Jon Lieuallen Judge	15605	Judge of the Circuit Court, 6th District, Position 2|Nonpartisan
Lively, John|Committee to Elect John Lively for State Representative, Dist. 12	15519	State Representative, 12th District|Democrat
Long, Andy|Andy Long for Sheriff Committee	15229	County Sheriff, Tillamook County|Nonpartisan
Lundberg, Christine|Friends of Christine Lundberg	15420	Mayor, City of Springfield|Nonpartisan
Lundie, Ken|Committee to Elect Ken Lundie County Commissioner	15618	County Commissioner, Lincoln County, Position 2|Nonpartisan
Macpherson, Gregory|Friends of Greg Macpherson	15485	State Senator, 19th District|Democrat
Mahony, Margaret|Margie Mahony for Justice of the Peace	15980	Justice of the Peace, Malheur County|Nonpartisan
Mann, Cj|Citizens For Cj Mann	15634	City Councilor, City of Springfield, Ward 4|Nonpartisan
Marteeny, Douglas|Friends of Doug Marteeny	15454	District Attorney, Linn County|Nonpartisan
Martinez, Stu|Stu for La Pine	16097	Mayor, City of La Pine|Nonpartisan
Mason, Dan|Friends of Dan Mason	15323	State Representative, 30th District|Republican
McAlpin, Jay|Keep Judge Jay McAlpin	16049	Judge of the Circuit Court, 2nd District, Position 7|Nonpartisan
McCoy, Edward|Friends of Edward McCoy	15807	City Councilor, City of Bend, Position 2|Nonpartisan
McKelvey, Mark|Friends of Mark McKelvey for Coos County Commissioner	15413	County Commissioner, Coos County, Position 2|Nonpartisan
McKeown, Catherine|Caddy McKeown for Representative	15298	State Representative, 9th District|Democrat
Meieran, Sharon|Friends of Sharon Meieran	15132	County Commissioner, Multnomah County, District 1|Nonpartisan
Middle Class PAC	16051	Miscellaneous
Minty Morris, Kelley|Elect Kelley Minty Morris	15409	County Commissioner, Klamath County, Position 2|Nonpartisan
Moore, Sheri|Friends of Sheri Moore	15402	City Councilor, City of Springfield, Ward 3|Nonpartisan
Mulenex, Ken|Citizens for Ken Mulenex	16048	Mayor, City of La Pine|Nonpartisan
Multnomah County Young Democrats	15059	Miscellaneous
Nakamoto, Lynn|Committee to Elect Justice Lynn Nakamoto	15596	Judge of the Supreme Court, Position 6|Nonpartisan
Nebeker, J. Sarah|Elect Sarah Nebeker	15580	County Commissioner, Clatsop County, District 2|Nonpartisan
Newgard, Steve|Friends of Steve Newgard	15497	State Representative, 40th District|Republican
Novick, Steven|Novick for Portland	15109	City Commissioner, City of Portland, Position 4|Nonpartisan
Ollerenshaw, Gary|Friends of Gary Ollerenshaw	15698	Director, Redmond Fire and Rescue, Position 1|Nonpartisan
Oregon Children's Voice	15757	Miscellaneous
Oregon Coast Electrical PAC	16073	Miscellaneous
Oregon End Violence Against Women Political Action Committee	15741	Miscellaneous
Oregon Faith and Freedom Coalition PAC	15823	Miscellaneous
Oregon Outdoor Advertising Political Action Committee	15388	Miscellaneous
Oregon State Assn of Plumbing Heating Cooling Contractors Inc	16057	Miscellaneous
Oregon State Farm Agents and Associates PAC	14884	Miscellaneous
Oregon Tea Party State PAC	15018	Miscellaneous
Oregonians for Law Reform	16031	Miscellaneous
ORLA Local Action Committee	14935	Miscellaneous
Orr, David|Justice Without Politics	15841	Judge of the Circuit Court, 1st District, Position 4|Nonpartisan
Pacific Northwest Science and Technology PAC	15371	Miscellaneous
Pederson, Jessica|Friends of Jessica Vega Pederson	15330	County Commissioner, Multnomah County, District 3|Nonpartisan
Pishioneri, Joseph|Friends of Joe Pishioneri	15658	City Councilor, City of Springfield, Ward 6|Nonpartisan
Preheim, Brady|Committee to elect Brady Preheim	15645	County Commissioner, Columbia County, Position 1|Nonpartisan
Reardon, Michael|Reardon for Oregon	15621	State Representative, 48th District|Democrat
Robinson, David|Friends of David Robinson	15851	County Clerk, Clackamas County|Nonpartisan
Rogers, Dale|Friends of Dale R Rogers	15242	Justice of the Peace, Canyonville|Nonpartisan
Rohlfing, Tom|Tom Rohlfing For Assessor	15799	County Assessor, Marion County|Nonpartisan
Rosenblum, Ellen|Elect Ellen Rosenblum for Attorney General	15406	Attorney General|Democrat
Rosenthal, Rich|Committee to Elect Rich Rosenthal	15906	City Councilor, City of Ashland, Position 5|Nonpartisan
Rowan, Terry|Committee to Elect Terry Rowan	15484	County Sheriff, Umatilla County|Nonpartisan
Rowe, Matthew|Friends of Matt Rowe	15994	County Treasurer, Coos County|Nonpartisan
Russell, Sally|Sally Russell for Bend City Council	16014	City Councilor, City of Bend, Position 3|Nonpartisan
Safety and Justice PAC	15022	Miscellaneous
Sandall, Jeanie|Committee to elect Jeanie Sandall Yamhill County Assessor	15789	County Assessor, Yamhill County|Nonpartisan
Save Our Schools Lowell	14953	Miscellaneous
Schools and Arts Together	16001	Measure|Supports Measure 26-146 - 2012
Scott, Barry|Committee to Elect Barry Scott	16008	City Councilor, City of Lebanon, Ward I|Nonpartisan
Scroggin, Jeff|Friends of Jeff Scroggin	15638	County Commissioner, Jackson County, Position 2|Democrat
Sercombe, Timothy|Judge Timothy Sercombe for Oregon Supreme Court Committee	15376	Judge of the Supreme Court, Position 3|Nonpartisan
Sewell, John|The Committee to Elect John Sewell	15495	District Attorney, Hood River County|Nonpartisan
Sheriffs of Oregon	15803	Miscellaneous
Skrah, Frank|Committee to Elect Frank Skrah Sheriff	15392	County Sheriff, Klamath County|Nonpartisan
Smith, Brent|Friends to Elect Brent Smith	15690	State Representative, 58th District|Republican
Spear, Thomas|Committee to Elect Spear for Judge	15780	Judge of the Circuit Court, 11th District, Position 5|Nonpartisan
Springer, Allen|Springer For Commissioner	15633	County Commissioner, Yamhill County, Position 2|Nonpartisan
Stability in Government Political Action Committee	15997	Miscellaneous
Stapleton, Ulys|Stapleton for District Attorney	15582	District Attorney, Lake County|Nonpartisan
Steiner Hayward, Elizabeth|Friends of Elizabeth Steiner Hayward	15255	State Senator, 17th District|Democrat
Stevens, Joel|Committee to Elect Joel Stevens	15204	Justice of the Peace, Tillamook County|Nonpartisan
Stevens, Susan|Friends of Susie Stevens	15867	City Councilor, City of Wilsonville|Nonpartisan
Stinnett, Kathleen|Kathy Stinnett for Justice of the Peace	15244	Justice of the Peace, Grant County|Nonpartisan
Strathern, Richard|Committee to Elect Richard Strathern	15911	City Councilor, City of Gresham, Position 3|Nonpartisan
Studebaker, Kent|Studebaker for Mayor	15861	Mayor, City of Lake Oswego|Nonpartisan
Support City Schools Political Action Committee	15584	Measure|Supports Measure 18-99 - 2014
Support Hood River County Schools	15995	Measure|Supports Measure 14-48 - 2012|Supports Measure 14-58 - 2016
Sustainable Forestry Network	4610	Miscellaneous
Swartzendruber, Ross|Friends of Ross	15626	Director, Salem-Keizer School District, Zone 1|Nonpartisan
Sweet, John|Committee to Elect John Sweet	15684	County Commissioner, Coos County, Position 2|Nonpartisan
Syrett, Claire|Claire Syrett for Eugene City Council	15938	City Councilor, City of Eugene, Ward 7|Nonpartisan
Taxpayers Union USA	14604	Miscellaneous
Thompson, Corey|The Committee To Elect Corey Thompson To Klamath County SWCD	16079	Director, Klamath County Soil and Conservation District, At Large|Nonpartisan
Tiffany, Gerry|Committee to Elect Gerry Tiffany for Sheriff	15217	County Sheriff, Hood River County|Nonpartisan
Tipton, Gerald|Tipton for Judge	15609	Judge of the Circuit Court, 12th District, Position 3|Nonpartisan
Tran, Thuy|Friends for Thuy Tran	15483	Director, Parkrose School District #3, Position 1|Nonpartisan
Turner, Tom|Keep Sheriff Turner	15221	County Sheriff, Lane County|Nonpartisan
Underhill, Rod|Rod Underhill for District Attorney	14943	District Attorney, Multnomah County|Nonpartisan
Unger, Benjamin|Ben Unger for Oregon	15238	State Representative, 29th District|Democrat
Valle, Juan Carlos|Committee to Elect Juan Carlos Valle	15631	City Councilor, City of Eugene, Ward 2|Nonpartisan
Van Bergen, Brian|Friends of Brian Van Bergen	15670	County Clerk, Yamhill County|Nonpartisan
Vandecoevering, Denise|Committee to Elect Denise Vandecoevering	15209	County Assessor, Tillamook County|Nonpartisan
Viva Las Portland	16021	Measure|Supports Measure 82 - 2012|Supports Measure 83 - 2012|Supports Measure 26-142 - 2012
Vloedman, Herb|Herb Vloedman for County Judge	15632	County Judge, Harney County|Nonpartisan
Vote Yes on 20-205	16020	Measure|Supports Measure 20-205 - 2012
Vote Yes on Measure 34-201 End the $.02 Gas Tax	16071	Measure|Supports Measure 34-201 - 2012
Vroman, Robert|Bob Vroman for Clackamas County Assessor	15206	County Assessor, Clackamas County|Nonpartisan
Walker, Victory|Committee to Elect Victory Walker	15650	Judge of the Circuit Court, 14th District, Position 2|Nonpartisan
Webb, Toni|Committee to Elect Toni Webb - Josephine County Commissioner	15728	County Commissioner, Josephine County, Position 2|Nonpartisan
Western States Strategies Committee for Progressive Renewal	5164	Miscellaneous
Wheeler, Jennifer|Friends of Jennifer Wheeler	15152	County Commissioner, Polk County, Position 1|Nonpartisan
Whitsett, Gail|Gail Whitsett for Oregon	15319	State Representative, 56th District|Republican
wiley, rickey|committee to elect Rickey Wiley Coos county commissioner #3	15234	County Commissioner, Coos County, Position 3|Nonpartisan
Willey, Jerry|Friends of Jerry Willey	15426	County Commissioner, Washington County, District 4|Nonpartisan
Williams, Jill|Committee to Elect Jill Williams Tillamook County Commissioner Position #1	15224	County Commissioner, Tillamook County, Position 1|Nonpartisan
Williamson, Jennifer|Friends of Jennifer Williamson	15145	State Representative, 36th District|Democrat
Wilson, John|Friends of John Wilson	15973	City Councilor, City of Troutdale, Position Six|Nonpartisan
Winters, Bradley|Committee to Re-Elect Brad Winters Lake County Commissioner	15982	County Commissioner, Lake County, Position 1|Nonpartisan
Wolfe, Brian|Brian Wolfe for Sheriff	15453	County Sheriff, Malheur County|Nonpartisan
Wolfe, Robert|Robert Wolfe Committee	15986	Secretary of State|Progressive
Women's Leadership Coalition PAC	16061	Miscellaneous
Write In To Re Elect Tim Evinger	15930	Miscellaneous
Yamhill Fire Political Action Committee	16053	Measure|Supports Measure 36-176 - 2015
Yellott, George (Sonny)|Vote Sonny HD 48	15870	State Representative, 48th District|Republican
Yes on 80	15934	Miscellaneous
Young Republicans of Oregon Political Action Committee, Inc.	15832	Miscellaneous
BAKER, JERRY|Jerry Baker for Commissioner	16133	County Commissioner, Umatilla County, Position 1|Nonpartisan
Bengel, Jay|Jay Bengel for BSD School Board	16282	Director, Beaverton School District, Zone 1|Nonpartisan
Blair, Larry|Friends of Larry Blair	16204	Director, Dallas School District, Position 3|Nonpartisan
Blanton, John|John Blanton CFD1 Election Committee	16300	Director, Clackamas County Fire District, Position 1|Nonpartisan
Blocker, Ken|Ken Blocker for Position 3	16295	Director, Boring Fire District, Position 3|Nonpartisan
Bryan, Anne|Committee to Elect Anne Bryan	16220	Director, Beaverton School District, Zone 2|Nonpartisan
Central Oregonians for Responsible Education	16265	Miscellaneous
Citizens for Corbett Schools	16423	Miscellaneous
Citizens for Hillsboro Schools	16410	Measure|Supports Measure 34-206 - 2013
Citizens for Safe and Sound Schools	16253	Measure|Supports Measure 17-52 - 2013
Clarke, Michael|Michael T. Clarke Campaign	16187	Commissioner, Port of St. Helens, Position 4|Nonpartisan
Cody, Greg|Vote Greg Cody	16257	Director, Tualatin Hills Park & Recreation, Position 2|Nonpartisan
Colett, Thomas|Thomas Colett for Beaverton School Board	16170	Director, Beaverton School District, Zone 7|Nonpartisan
Committee for Enhanced Public Safety	16478	Measure|Supports Measure 30-14 - 2013
Concerned Citizens of District 9	16359	Miscellaneous
Cross, Jay|Cross4ClackamasFire	16266	Director, Clackamas County Fire District, Position 4|Nonpartisan
Degman, Linda|Friends of Linda Degman	16341	Director, Beaverton School District, Zone 7|Nonpartisan
Dilkes Perry, Angela|Friends of Angi Dilkes Perry	16260	Director, Canby School District, Position 7|Nonpartisan
Dykes, Cheryl|Cheryl Dykes for Medford School Board	16346	Director, Medford School District, Position 3|Nonpartisan
Earls, Elizabeth|Committee to Elect Elizabeth Earls	16328	Director, Chemeketa Community College, Zone 7|Nonpartisan
Eugene Cares for Neighbors and Community PAC	16237	Measure|Supports Measure 20-211 - 2013
Evans, Greg|Friends of Greg Evans	16168	City Councilor, City of Eugene, Ward 6|Nonpartisan
Flores, Erick|Amigos and Friends of Erick Flores	16176	Unknown Office|Nonpartisan
Friends of Polk Fire	16435	Measure|Supports Measure 27-110 - 2013
Friends Who Care and Love Albany	16130	Measure|Opposes Measure 22-116 - 2013|Opposes Measure 22-117 - 2013
Fulton, Stephen|Fulton for Port Commission	16285	Commissioner, Port of Astoria, Position 2|Nonpartisan
Gerot, Elizabeth|Committee to Re-elect Beth Gerot	16261	Director, Eugene School District, Position 3|Nonpartisan
Gordon, Michelle|Michelle Gordon for T.S.D. #9 School Board Position 2	16320	Director, Tillamook School District #9, Position 2|Nonpartisan
Gottlieb, Justin|Friends of Justin Gottlieb (2013)	16273	Director, Bend Metro Park & Recreation District, Position 5|Nonpartisan
Gramson, Gilbert|Friends of Gilbert Gramson	16357	Commissioner, Port of Arlington, Zone 2|Nonpartisan
Green, Brian|Committee to Re-Elect Brian Green	16298	Director, Devils Lake Water Improvement District, Position 4|Nonpartisan
Greenberg, Susan|Susan Greenberg for Beaverton Schools	16219	Director, Beaverton School District, Zone 1|Nonpartisan
Hartman, Liz|Liz Hartman LOSD	16184	Director, Lake Oswego School District, Position 4|Nonpartisan
Hernandez, Diego|Friends of Diego Hernandez	16199	State Representative, 47th District|Democrat
High, Andy|Friends of Andy High	16185	Director, Bend-LaPine School District, Position 3|Nonpartisan
Howell, Sarah|Sarah Howell for School Board	16164	Director, Lake Oswego School District, Position 2|Nonpartisan
Humberston, Kenneth|Ken Humberston for Clackamas County Commission	16321	County Commissioner, Clackamas County, Position 4|Nonpartisan
Jones, Jerry|Jerry Jones For THPRD	16200	Director, Tualatin Hills Park & Recreation, Position 2|Nonpartisan
Jones, Susie|susiejonesformhccboard	16132	Director, Mt. Hood Community College, Zone 1|Nonpartisan
Kalani, Hugh|Elect Hugh Kalani	16278	Commissioner, Clackamas River Water, Position 5|Nonpartisan
Keating, Matthew|Oregon for Matt Keating	16192	Director, Lane Community College, Zone 4|Nonpartisan
Kent, Steve|Steve Kent Committee Election Account	16290	Director, Boring Fire District, Position 5|Nonpartisan
Knappa Fire District Volunteer Firefighters Association	16310	Measure|Supports Measure 4-166 - 2013
Koehler, Tom|Tom Koehler for School Board	16156	Director, Portland School District, Zone 6|Nonpartisan
Kremers, Julie|Julie L Kremers for SWOCC	16345	Director, Southwestern Oregon Community College, Position 5|Nonpartisan
Lantz, Rebecca|Rebecca Lantz for Hillsboro School Board	16284	Director, Hillsboro School District, Position 6|Nonpartisan
Lawson, Peter|Retain Peter Lawson 4 TVCC Board	16304	Director, Treasure Valley Community College, Position 6|Nonpartisan
Make the Change	16281	Miscellaneous
Matheson, David|Matheson for Tigard Tualatin Schools	16277	Director, Tigard-Tualatin School District, Position 3|Nonpartisan
Menkens, Renee|Friends of Renee' Menkens for SWOCC Board	16299	Unknown Office|
Miller, Glenn|Friends of Glenn Miller	16305	Director, Hillsboro School District, Position 2|Nonpartisan
Miller, Tyler|Elect Tyler Miller	16318	Director, Columbia 9-1-1 Communications District, Zone 5|Nonpartisan
Monmouth Citizens for Responsible Spending	16309	Measure|Opposes Measure 27-106 - 2013
Neighbor Helping Neighbor	16239	Measure|Supports Measure 4-163 - 2013
North Marion 4 KIDS	16454	Measure|Supports Measure 24-366 - 2014
O'Neil, Charles|Charlie O'Neil for Corbett Schools	16355	Director, Corbett School District, Position 3|Nonpartisan
Protect Our Natural Areas	16138	Miscellaneous
Robertson, Kevin|Kevin Robertson for School Board	16208	Director, Lake Oswego School District, Position 2|Nonpartisan
Rodriguez, Jaime|Friends of Jaime Rodriguez	16217	Director, Hillsboro School District, Position 7|Nonpartisan
Safe, Sound Schools for Sheridan	16463	Measure|Supports Measure 36-159 - 2013
Save Old Schools	16361	Measure|Opposes Measure 24-369 - 2014
Save Our School	16451	Miscellaneous
Schroedl, Steven|Friends of Steven Schroedl	16302	Director, North Clackamas School District, Position 5|Nonpartisan
Scyoc, Nicholas|Friends of Nicholas Scyoc	16203	Director, McMinnville School District, Position 2|Nonpartisan
Shoob, Joshua|Friends of Joshua Shoob	16267	Director, Dallas School District, Position 3|Nonpartisan
Skirvin, David|Committee To Re-Elect Davis Skirvin	16329	Director, Devils Lake Water Improvement District, Position 5|Nonpartisan
Stephens, Trish|Campaign for Trish Stephens	16292	Director, Amity School District, Position 1|Nonpartisan
Strong Schools for Springfield PAC	16433	Measure|Supports Measure 20-219 - 2013
Support A Future for Education	16460	Measure|Supports Measure 4-168 - 2013
Thoroughman, Steve|Steve Thoroughman for Canby Fire Board	16262	Director, Canby Fire District, Zone 1|Nonpartisan
Tyner, Donna|Friends of Donna Tyner	16242	Director, Beaverton School District, Zone 4|Nonpartisan
Varney, Micki|Friends of Micki Varney	16291	City Councilor, City of Salem, Ward 8|Nonpartisan
Wendland, John|Re-Elect John Wendland	16336	Director, Lake Oswego School District, Position 3|Nonpartisan
Yes for Polk County Public Safety	16447	Miscellaneous
911 PAC	16822	Measure|Supports Measure 18-96 - 2014
Ackley, Pamela|Pam Ackley Campaign Account	17106	City Commissioner, City of Warrenton, Position 4|Nonpartisan
Admire, Jeff|Committee to Elect Jeff Admire for County Commissioner	17178	County Commissioner, Douglas County, Position 3|Nonpartisan
Allen, Kyle|Friends of Kyle Allen	16673	City Councilor, City of Hillsboro, Ward 2, Position A|Nonpartisan
Amabisca, Allen|Allen Amabisca for Washington County	16672	County Commissioner, Washington County, At Large|Nonpartisan
Andersen, H|Friends of Tom Andersen	16690	City Councilor, City of Salem, Ward 2|Nonpartisan
Anderson, Tom|Elect Tom Anderson	17096	City Councilor, City of Tigard, At-Large|Nonpartisan
Ankerberg, Curt|Curt Ankerberg for Commissioner	16977	County Commissioner, Jackson County, Position 1|Libertarian
Atherton, Kerry|Elect Kerry Atherton	16535	State Representative, 2nd District|Democrat
Auer, Aaron|Auer Governor	16898	Governor|Constitution
Axelrod, Russell|Committee to Re-elect Mayor Axelrod	17068	Mayor, City of West Linn|Nonpartisan
Bailey, Bridget|Bridget Bailey for Wasco County Commissioner	16809	County Commissioner, Wasco County, Position 3|Nonpartisan
Barram, Jodie|Jodie For Deschutes	16528	County Commissioner, Deschutes County, Position 1|Democrat
Barreto, Greg|Barreto for HD 58	16557	State Representative, 58th District|Republican
Barton Mullins, Lisa|Lisa Barton Mullins	17072	Mayor, City of Fairview|Nonpartisan
Bates, Stephen|Friends of Steve Bates	16529	Director, Clackamas County Fire District, Position 4|Nonpartisan
Batey, Lisa|Lisa Batey for Milwaukie	16965	City Councilor, City of Milwaukie, Position 2|Nonpartisan
Bearnson, Clay|Committee to Elect Clay Bearnson to Medford City Council	17209	City Councilor, City of Medford, Ward 2|Nonpartisan
Beaty, Lacey|Friends of Lacey Beaty	16588	City Councilor, City of Beaverton, Position 1|Nonpartisan
Beaverton Public Safety	17082	Measure|Supports Measure 34-226 - 2014|Supports Measure 34-250 - 2016
Bemis, Shane|Shane Bemis for Mayor	17016	Mayor, City of Gresham|Nonpartisan
Black PAC	16240	Miscellaneous
Blackburn, Paul|Blackburn4Mayor	17094	Mayor, City of Hood River|Nonpartisan
Boddie, Nathan|Boddie For Bend	17097	State Representative, 54th District|Democrat
Boice, Chris|Friends of Chris Boice	16986	County Commissioner, Douglas County, Position 3|Nonpartisan
Brockman, Ed|Ed Brockman for Lake Oswego City Council	17123	City Councilor, City of Lake Oswego|Nonpartisan
Bruce, Robert|Friends of Robert Bruce	16501	State Senator, 26th District|Democrat
Buck, Joseph|Friends of Joe Buck	17057	Metro Councilor, District 2|Nonpartisan
Caleb, Nicholas|Friends of Nick Caleb	16753	City Commissioner, City of Portland, Position 4|Nonpartisan
Campaign for the Restoration and Regulation of Hemp in Oregon	16368	Miscellaneous
Capell, Mark|Mark Capell for Bend City Council	16970	City Councilor, City of Bend, Position 5|Nonpartisan
Card, Nicholas|Committee to Elect Nick Card	16842	State Representative, 5th District|Republican
Carpenter, Jim|Elect Jim Carpenter	16765	District Attorney, Grant County|Nonpartisan
Carter, Betty|Betty J Carter for City Councilor	17146	City Councilor, City of Ontario|Nonpartisan
Central Oregon Small Business PAC	16882	Miscellaneous
Chappell, Matthew|Friends of Matt Chappell	17092	City Councilor, City of Keizer, Position 5|Nonpartisan
Citizens Charter Political Action Committee	16653	Measure|Supports Measure 8-76 - 2014
Citizens for a Better Sutherlin	16829	Measure|Opposes Measure 10-131 - 2014
Citizens for a Safer Bend	16696	Measure|Supports Measure 9-97 - 2014|Supports Measure 9-98 - 2014
Citizens for Competition and Growth	17229	Miscellaneous
Citizens for Improved and Safer Streets	17067	Measure|Supports Measure 36-165 - 2014
Citizens for the Citizens of Port Orford	16743	Recall
Clausen, Stephen|Friends of Jim Clausen	17147	Mayor, City of Albany|Nonpartisan
Clement, Lisa|Committee to Elect Lisa Tarabochia Clement	16796	County Commissioner, Clatsop County, District 3|Nonpartisan
Committiee For Boardman Public Safety	17116	Measure|Supports Measure 25-67 - 2014
Communities of Color for a Just Oregon	16131	Miscellaneous
Community Health Center PAC	16934	Miscellaneous
Compassionate Oregon	16175	Miscellaneous
Curry County Protect Our Right to Vote Committee	16851	Measure|Opposes Measure 8-76 - 2014
D'Alessandro, Timothy|DALESSANDRO FOR CITY COUNCIL	17181	City Councilor, City of Medford, Ward 2|Nonpartisan
Daniel, Dave|Friends of Dave Daniel for Sheriff	16751	County Sheriff, Josephine County|Nonpartisan
Darnell, David|I Will Vote Like a Republican Should Committee	16817	State Representative, 18th District|Republican
Davis, Wanda|Friends of Wanda Davis	16783	State Representative, 23rd District|Democrat
DeGroot, Kristian|Kris Degroot for County Surveyor	16847	County Surveyor, Douglas County|Nonpartisan
Delaney, Gary|Elect Gary Delaney Committee	16888	County Commissioner, Grant County, Position 1|Nonpartisan
Dickey, Diana|Friends of Diana Dickey	16258	County Commissioner, Marion County, Position 1|Democrat
Donohue, Matthew|Donohue For Circuit Court Judge	16427	Judge of the Circuit Court, 21st District, Position 2|Nonpartisan
Dunne-Bjornsen, Natasha|Friends of Natasha Bjornsen	16575	State Representative, 2nd District|Democrat
Elliott, Taner|Taner Elliott for The Dalles City Council	17186	City Councilor, City of The Dalles, At Large|Nonpartisan
Eppley, Raymond|Friends of Ray Eppley	17077	City Councilor, City of Troutdale, Position Five|Nonpartisan
Ericksen, Larry|Ericksen For Oregon	16983	Commissioner, Port of St. Helens, Position 3|Nonpartisan
Erickson, Karl|Committee to Elect Karl Erickson	16558	State Representative, 20th District|Republican
Evans, Brian|Friends of Brian C. Evans	16532	Metro Auditor, At Large|Nonpartisan
Evans, Paul|Friends of Paul Evans	16508	State Representative, 20th District|Democrat
Every Oregon Voter Counts	16892	Petition Committee|Initiative Petition No. 55 - 2014
Farrell, Timothy|Tim PAC	16741	Judge of the Circuit Court, 7th District, Position 3|Nonpartisan
Ferguson, Nora|Nora Ferguson for County Commissioner	16903	County Commissioner, Wasco County, Position 1|Nonpartisan
Fischer, Sonya|Friends of Sonya Fischer	16623	County Commissioner, Clackamas County, Position 5|Nonpartisan
Fix Our Parks, a project of the Conservation Campaign	17045	Measure|Supports Measure 26-159 - 2014
Fleming, Dick|Dick Fleming for BCC Campaign	16684	County Commissioner, Baker County, Position 2|Republican
Free Our City	17175	Miscellaneous
Freedom From Pesticides Alliance	16479	Petition Committee|Initiative Petition No. P-2013-009 - 2013
Freedom Oregon	16545	Miscellaneous
Friends of Jefferson Fire District	17196	Measure|Supports Measure 24-379 - 2014
Friends of PFD1	16834	Measure|Supports Measure 27-111 - 2014|Supports Measure 27-112 - 2014
Friends of Umatilla County Fire District 1	17165	Measure|Supports Measure 30-100 - 2014|Supports Measure 30-102 - 2014|Supports Measure 30-103 - 2014
Fummerton, Mitchell|Committee to Elect Mick Fummerton	16766	County Commissioner, Douglas County, Position 2|Nonpartisan
Furse, Elizabeth|Friends of Elizabeth Furse	16626	County Commissioner, Washington County, District 4|Nonpartisan
Gatlin, Mark|Friends of Mark Gatlin	16708	County Commissioner, Josephine County, Position 1|Nonpartisan
Gavitte, Donald|Gavitte for 42	16510	State Representative, 42nd District|Democrat
Golobay, David|Friends of David Golobay	17060	City Councilor, City of Happy Valley|Nonpartisan
Grider, Sarah|Sarah Grider for City Council	17059	City Councilor, City of Newberg, District 2|Nonpartisan
Grieb, Ken|Elect Grieb Committee	16886	County Commissioner, Morrow County, Position 2|Nonpartisan
HACK PAC	16857	Miscellaneous
Hack, Jodi|Jodi Hack For Oregon	16538	State Representative, 19th District|Republican
Hann, Franklin|Elect Frank Hann	17224	City Councilor, City of Corvallis, Ward 8|Nonpartisan
Harris, Rita|Vote Rita Harris	17075	County Commissioner, Douglas County, Position 3|Nonpartisan
Harvey Sr, Alton|Citizens to Elect Alton Harvey Sr	16658	City Councilor, City of Beaverton, Position 1|Nonpartisan
Hayden, Cedric|Hayden for Oregon	16541	State Representative, 7th District|Republican
Heard, Dallas|Friends of Dallas Heard	16233	State Representative, 2nd District|Republican
Helm, Kenneth|Ken Helm for House District 34	16738	State Representative, 34th District|Democrat
Henry, Chris|Chris Henry for Treasurer	17191	State Treasurer|Progressive
Herrera, Roland|Friends of Roland Herrera	16911	City Councilor, City of Keizer, Position 4|Nonpartisan
Heym, Jason|Friends of Jason Heym	16487	Judge of the Circuit Court, 19th District, Position 1|Nonpartisan
Howard, Ryan|Howard for Oregon	16613	State Senator, 13th District|Democrat
